iter	RMSE
0	183019.1232
1	179315.8292
2	175768.9239
3	172024.3897
4	168809.0893
5	165991.0539
6	163222.9386
7	160535.5318
8	157332.1357
9	154542.3881
10	151736.1078
11	149153.7351
12	146702.902
13	144798.462
14	142417.5914
15	140286.5174
16	138497.7573
17	136655.1936
18	134994.5982
19	133698.4826
20	132498.4768
21	130919.6927
22	129382.0759
23	128174.9258
24	126955.4945
25	125850.328
26	124685.5276
27	123698.7954
28	122771.6557
29	121868.263
30	120783.506
31	119923.1883
32	119224.266
33	118396.419
34	117765.378
35	117075.2115
36	116176.8906
37	115517.1955
38	115042.0925
39	114559.4833
40	113823.7385
41	113092.1855
42	112672.143
43	112093.9256
44	111593.6249
45	110977.6983
46	110543.608
47	109996.2396
48	109444.8341
49	109040.2933
50	108541.8189
51	108216.5738
52	107845.0348
53	107460.1037
54	107106.2266
55	106885.1482
56	106497.1334
57	106239.551
58	106041.8591
59	105684.423
60	105473.7879
61	105396.6852
62	105119.9824
63	104760.4497
64	104382.5022
65	104166.4553
66	103968.4316
67	103743.814
68	103540.8917
69	103405.364
70	103190.8463
71	103064.6581
72	102929.0768
73	102819.792
74	102612.0789
75	102490.6019
76	102291.3073
77	102160.9954
78	101962.1887
79	101658.1262
80	101542.8236
81	101287.9022
82	101094.9941
83	100931.2247
84	100863.5196
85	100757.6382
86	100587.5615
87	100442.7826
88	100399.7728
89	100298.0303
90	100250.1682
91	99996.36007
92	99872.3119
93	99809.2922
94	99780.6454
95	99616.23406
96	99543.67987
97	99460.17016
98	99122.79354
99	99028.45963
100	98913.98852
101	98890.09616
102	98887.01714
103	98855.6204
104	98742.29174
105	98678.88585
106	98566.23795
107	98464.057
108	98381.49153
109	98231.73966
110	98176.67049
111	98102.12131
112	98013.09315
113	97965.96233
114	97964.2932
115	97915.40872
116	97820.08233
117	97791.47521
118	97775.27594
119	97758.94236
120	97705.49985
121	97587.80345
122	97559.11826
123	97502.72881
124	97436.98144
125	97415.42365
126	97360.4894
127	97309.35855
128	97307.67914
129	97173.01295
130	97065.77766
131	96935.70812
132	96892.7966
133	96802.38103
134	96666.59745
135	96566.88089
136	96457.18059
137	96424.38909
138	96398.11167
139	96372.52336
140	96203.91736
141	96085.5566
142	96085.51403
143	96025.86625
144	95699.34074
145	95637.78049
146	95621.49193
147	95577.86027
148	95565.66859
149	95300.975
150	95163.81663
151	95112.34696
152	95086.0258
153	95075.68437
154	95054.90415
155	95027.39651
156	94913.07304
157	94849.43532
158	94749.8092
159	94699.90828
160	94653.32634
161	94638.03964
162	94559.07656
163	94496.42716
164	94300.83955
165	94133.33433
166	94034.6462
167	94014.09046
168	93936.23475
169	93888.00454
170	93853.59591
171	93777.29194
172	93609.04261
173	93503.21372
174	93459.25725
175	93451.7668
176	93427.87146
177	93413.03667
178	93328.81404
179	93187.16759
180	93165.21147
181	93112.44703
182	93061.18258
183	92979.82256
184	92888.5293
185	92834.44207
186	92780.84966
187	92776.63389
188	92765.11356
189	92724.95604
190	92669.36168
191	92609.89796
192	92583.73288
193	92488.33401
194	92458.13786
195	92353.82397
196	92210.86675
197	92140.00395
198	92132.88167
199	92080.6967
200	91996.46653
201	91917.8284
202	91838.25887
203	91830.10878
204	91773.19048
205	91771.29962
206	91710.82549
207	91704.62597
208	91657.25191
209	91604.57655
210	91577.26695
211	91556.47699
212	91360.69099
213	91333.88814
214	91271.49034
215	91220.07831
216	91174.46076
217	91116.20107
218	91009.5213
219	90969.43341
220	90922.93692
221	90914.22884
222	90865.47999
223	90794.41587
224	90786.20354
225	90750.67454
226	90743.22741
227	90722.25305
228	90694.61809
229	90673.42661
230	90649.45023
231	90591.59578
232	90542.4567
233	90517.08472
234	90477.89529
235	90433.14495
236	90382.59772
237	90319.39853
238	90252.88552
239	90216.90641
240	90089.22469
241	90023.94374
242	89993.69554
243	89831.77395
244	89786.75148
245	89753.24474
246	89652.90455
247	89535.58319
248	89468.27898
249	89409.55715
250	89370.70243
251	89338.55357
252	89321.23505
253	89307.83483
254	89173.50088
255	89161.39313
256	89150.23221
257	89139.94115
258	89121.96872
259	89087.02237
260	88992.3144
261	88964.31439
262	88936.20068
263	88919.65145
264	88910.07246
265	88874.07767
266	88828.77309
267	88788.08817
268	88753.25934
269	88716.30316
270	88663.34053
271	88595.4886
272	88570.91435
273	88510.61385
274	88501.71521
275	88466.91088
276	88382.05752
277	88371.49562
278	88340.40084
279	88299.47785
280	88291.61391
281	88219.31181
282	88180.99205
283	88092.75809
284	88054.82148
285	87988.90844
286	87888.58196
287	87867.32892
288	87811.29994
289	87789.1786
290	87768.71313
291	87651.19923
292	87558.01734
293	87538.84854
294	87519.71554
295	87512.21286
296	87458.05627
297	87180.73217
298	87159.52778
299	87108.44657
300	87074.69001
301	87069.28976
302	87036.56403
303	87006.70542
304	86955.98849
305	86884.31113
306	86879.6681
307	86864.85886
308	86839.77538
309	86835.49449
310	86825.92685
311	86786.79149
312	86728.86877
313	86681.70946
314	86667.49279
315	86649.67816
316	86645.08384
317	86614.53329
318	86591.43928
319	86570.08829
320	86527.06696
321	86422.03051
322	86407.04783
323	86393.10974
324	86373.39686
325	86347.6911
326	86290.36206
327	86269.30667
328	86251.48767
329	86234.95557
330	86102.72045
331	86068.04026
332	86038.85364
333	85981.57944
334	85929.6517
335	85873.58877
336	85824.6302
337	85745.5279
338	85671.7755
339	85656.92892
340	85566.6454
341	85514.50274
342	85510.86594
343	85507.49565
344	85478.04662
345	85462.29462
346	85400.31495
347	85289.79258
348	85278.82176
349	85217.99765
350	85204.25953
351	85060.41035
352	85057.52006
353	85017.76471
354	84950.73415
355	84889.01501
356	84856.12269
357	84814.58668
358	84779.36091
359	84699.95324
360	84660.42554
361	84628.11629
362	84585.03702
363	84545.73146
364	84465.45912
365	84411.49027
366	84386.55416
367	84364.20061
368	84354.44676
369	84312.78949
370	84298.92353
371	84280.27614
372	84277.62618
373	84241.1236
374	84180.47182
375	84151.72245
376	84118.16336
377	84098.25636
378	84080.00324
379	83849.24371
380	83670.16119
381	83656.2165
382	83638.73861
383	83512.9161
384	83496.07064
385	83429.44007
386	83413.70501
387	83386.44172
388	83375.02257
389	83333.20509
390	83314.20856
391	83269.76511
392	83153.29571
393	83025.3319
394	82981.32705
395	82939.82691
396	82925.21484
397	82862.87426
398	82800.40805
399	82726.50676
400	82693.54945
401	82653.26107
402	82640.15613
403	82619.5069
404	82598.83581
405	82588.53916
406	82539.51677
407	82430.28674
408	82400.3187
409	82336.22373
410	82312.85257
411	82297.49274
412	82285.31506
413	82275.63667
414	82238.30277
415	82230.78312
416	82199.60647
417	82134.33749
418	82074.77099
419	82028.62041
420	82006.04117
421	81989.8533
422	81981.22135
423	81943.17461
424	81897.71112
425	81857.78136
426	81806.6065
427	81793.65389
428	81725.71532
429	81631.35244
430	81610.58022
431	81575.5075
432	81560.61532
433	81439.81872
434	81371.45822
435	81343.98234
436	81326.03568
437	81305.74929
438	81207.99798
439	81196.85414
440	81176.05027
441	81119.88109
442	81106.01012
443	81042.93148
444	80978.79013
445	80947.63042
446	80912.8925
447	80860.69701
448	80828.27105
449	80805.76808
450	80762.34608
451	80721.27689
452	80642.09417
453	80593.1013
454	80547.16517
455	80528.08741
456	80440.13048
457	80407.91017
458	80338.586
459	80286.84624
460	80223.75458
461	80195.77749
462	80174.20026
463	80136.26617
464	80107.21298
465	80093.14642
466	80084.14618
467	80078.49656
468	80043.63058
469	79987.5886
470	79923.40551
471	79866.65473
472	79850.69207
473	79726.75562
474	79694.80732
475	79657.42906
476	79579.78383
477	79561.98487
478	79537.80628
479	79402.03602
480	79363.01172
481	79320.63322
482	79301.95278
483	79285.37006
484	79251.51386
485	79172.45147
486	79158.266
487	79127.96587
488	79104.96626
489	79082.62369
490	78992.93152
491	78979.50678
492	78927.94777
493	78909.47769
494	78893.4585
495	78840.12176
496	78818.10237
497	78786.33078
498	78771.31982
499	78744.71983
500	78710.14945
501	78654.47285
502	78618.70397
503	78603.72637
504	78591.47798
505	78550.90694
506	78333.28237
507	78256.87771
508	78245.73462
509	78220.15936
510	78193.05476
511	78184.57602
512	78110.13952
513	78059.65904
514	78041.55785
515	78013.11045
516	77997.75681
517	77980.89593
518	77954.4943
519	77932.63696
520	77913.5197
521	77714.11969
522	77685.86121
523	77641.70674
524	77544.2062
525	77530.05405
526	77510.56794
527	77498.93291
528	77427.6852
529	77382.88993
530	77340.42982
531	77331.69248
532	77297.69278
533	77262.81433
534	77221.97097
535	77201.52255
536	77184.78032
537	77171.89262
538	77152.83448
539	77111.72837
540	77057.19953
541	77036.89668
542	77021.28823
543	76999.42327
544	76975.97306
545	76937.05091
546	76907.57951
547	76897.65157
548	76860.08477
549	76850.32656
550	76839.7964
551	76817.74682
552	76806.12237
553	76752.58946
554	76741.61293
